Q_Analog,Q_Boolean,I_Analog,I_Boolean,bit0,bit1,bit2,bit3
0.965175139,11111111111111111111111111111000,0.31760148,11111111111111111111000000000000,1,0,1,1
0.363604986,11111111111111111111110000000000,-0.94128268,11110000000000000000000000000000,1,1,0,0
-0.919327311,11111000000000000000000000000000,0.38347952,11111111111111111111111000000000,0,0,1,1
1.055122561,11111111111111111111111111111111,-0.35804274,11111111110000000000000000000000,1,0,0,1
-0.283157419,11111111111110000000000000000000,0.95666105,11111111111111111111111111111000,0,1,1,0
-0.324236545,11111111111000000000000000000000,0.94112066,11111111111111111111111111110000,0,1,1,0
0.917376235,11111111111111111111111111100000,-0.96472582,11100000000000000000000000000000,1,0,0,0
0.231556399,11111111111111111000000000000000,-0.31050514,11111111111100000000000000000000,1,1,0,1
0.323780385,11111111111111111111100000000000,0.25228582,11111111111111111100000000000000,1,1,1,1
-0.286380073,11111111111110000000000000000000,-0.20361978,11111111111111110000000000000000,0,1,0,1
-0.977773686,11000000000000000000000000000000,1.0526404,11111111111111111111111111111111,0,0,1,0
0.475043419,11111111111111111111111100000000,-0.35495838,11111111110000000000000000000000,1,1,0,1
-0.364805763,11111111110000000000000000000000,-0.37087657,11111111100000000000000000000000,0,1,0,1
-0.319584762,11111111111100000000000000000000,-0.28312809,11111111111110000000000000000000,0,1,0,1
0.933393752,11111111111111111111111111110000,-0.92975144,11110000000000000000000000000000,1,0,0,0
-0.289225275,11111111111110000000000000000000,0.97162773,11111111111111111111111111111000,0,1,1,0
-0.812020381,11111111000000000000000000000000,0.85055011,11111111111111111111111110000000,0,0,1,0
0.909743055,11111111111111111111111111100000,-1.03676399,00000000000000000000000000000000,1,0,0,0
0.186447299,11111111111111110000000000000000,-0.98116137,11000000000000000000000000000000,1,1,0,0
1.116643996,11111111111111111111111111111111,0.85432346,11111111111111111111111110000000,1,0,1,0
-0.338305519,11111111111000000000000000000000,0.87192664,11111111111111111111111111000000,0,1,1,0
-0.442897741,11111111000000000000000000000000,-0.3297732,11111111111000000000000000000000,0,1,0,1
0.313757113,11111111111111111111000000000000,-0.50151641,11111111000000000000000000000000,1,1,0,1
-0.908072941,11111000000000000000000000000000,0.34618486,11111111111111111111110000000000,0,0,1,1
-0.998427783,10000000000000000000000000000000,0.95626919,11111111111111111111111111111000,0,0,1,0
-0.931774475,11110000000000000000000000000000,-1.09060107,00000000000000000000000000000000,0,0,0,0
1.001893048,11111111111111111111111111111110,0.36563961,11111111111111111111110000000000,1,0,1,1
-0.98784789,11000000000000000000000000000000,-0.24449559,11111111111111100000000000000000,0,0,0,1
-0.93460122,11110000000000000000000000000000,0.91670485,11111111111111111111111111100000,0,0,1,0
0.423046191,11111111111111111111111100000000,0.32464856,11111111111111111111100000000000,1,1,1,1
0.196292375,11111111111111110000000000000000,1.00056977,11111111111111111111111111111110,1,1,1,0
-0.433562282,11111111000000000000000000000000,-0.43474814,11111111000000000000000000000000,0,1,0,1
0.231002589,11111111111111111000000000000000,-0.38991422,11111111100000000000000000000000,1,1,0,1
-0.998503619,10000000000000000000000000000000,0.44057474,11111111111111111111111100000000,0,0,1,1
1.03828626,11111111111111111111111111111111,0.81301184,11111111111111111111111110000000,1,0,1,0
-0.32458194,11111111111000000000000000000000,0.33360693,11111111111111111111100000000000,0,1,1,1
0.325342588,11111111111111111111100000000000,-0.32489903,11111111111000000000000000000000,1,1,0,1
0.914739927,11111111111111111111111111100000,-0.31407745,11111111111100000000000000000000,1,0,0,1
-0.257685635,11111111111111000000000000000000,1.07061756,11111111111111111111111111111111,0,1,1,0
-0.347588732,11111111110000000000000000000000,-1.06445799,00000000000000000000000000000000,0,1,0,0
0.392246173,11111111111111111111111000000000,0.31872735,11111111111111111111000000000000,1,1,1,1
-0.406309927,11111111100000000000000000000000,0.24014321,11111111111111111000000000000000,0,1,1,1
0.930548983,11111111111111111111111111110000,-0.9691647,11100000000000000000000000000000,1,0,0,0
-0.943782182,11110000000000000000000000000000,0.35480686,11111111111111111111110000000000,0,0,1,1
-0.168973417,11111111111111110000000000000000,-0.81503523,11111111000000000000000000000000,0,1,0,0
0.344340795,11111111111111111111100000000000,-0.42580468,11111111000000000000000000000000,1,1,0,1
0.888354834,11111111111111111111111111000000,-0.38725064,11111111100000000000000000000000,1,0,0,1
0.261458802,11111111111111111100000000000000,0.37351864,11111111111111111111111000000000,1,1,1,1
0.233825949,11111111111111111000000000000000,0.9781934,11111111111111111111111111111100,1,1,1,0
-0.372864355,11111111100000000000000000000000,0.95243365,11111111111111111111111111111000,0,1,1,0
0.339221811,11111111111111111111100000000000,-0.94699373,11100000000000000000000000000000,1,1,0,0
0.888334378,11111111111111111111111111000000,-0.94704723,11100000000000000000000000000000,1,0,0,0
0.881161935,11111111111111111111111111000000,0.92142121,11111111111111111111111111100000,1,0,1,0
-0.215250122,11111111111111100000000000000000,0.77345211,11111111111111111111111100000000,0,1,1,0
-0.415736526,11111111000000000000000000000000,0.98102095,11111111111111111111111111111100,0,1,1,0
-0.967639234,11100000000000000000000000000000,-0.91782928,11111000000000000000000000000000,0,0,0,0
0.286810444,11111111111111111110000000000000,1.03594385,11111111111111111111111111111111,1,1,1,0
-0.982174656,11000000000000000000000000000000,0.22941827,11111111111111111000000000000000,0,0,1,1
-1.007793807,10000000000000000000000000000000,-0.3907653,11111111100000000000000000000000,0,0,0,1
-0.270453754,11111111111111000000000000000000,0.142637,11111111111111110000000000000000,0,1,1,1
-0.263577088,11111111111111000000000000000000,-0.36230055,11111111110000000000000000000000,0,1,0,1
0.826455555,11111111111111111111111110000000,-0.27870091,11111111111111000000000000000000,1,0,0,1
0.824522771,11111111111111111111111100000000,0.36269703,11111111111111111111110000000000,1,0,1,1
0.302141105,11111111111111111110000000000000,-0.40665277,11111111100000000000000000000000,1,1,0,1
0.310295711,11111111111111111111000000000000,-0.82379178,11111110000000000000000000000000,1,1,0,0
0.866499398,11111111111111111111111110000000,-0.87942572,11111100000000000000000000000000,1,0,0,0
0.900850544,11111111111111111111111111000000,0.98857477,11111111111111111111111111111100,1,0,1,0
0.99292419,11111111111111111111111111111100,-0.95687392,11100000000000000000000000000000,1,0,0,0
0.400531597,11111111111111111111111000000000,0.43720057,11111111111111111111111100000000,1,1,1,1
0.984654122,11111111111111111111111111111100,-0.3362932,11111111111000000000000000000000,1,0,0,1
0.294685838,11111111111111111110000000000000,0.845083,11111111111111111111111110000000,1,1,1,0
-0.385606286,11111111100000000000000000000000,-0.30373599,11111111111100000000000000000000,0,1,0,1
0.869988718,11111111111111111111111110000000,-0.97887614,11000000000000000000000000000000,1,0,0,0
-1.02679257,10000000000000000000000000000000,0.81908561,11111111111111111111111110000000,0,0,1,0
0.946890221,11111111111111111111111111110000,-0.35224526,11111111110000000000000000000000,1,0,0,1
0.247490572,11111111111111111000000000000000,0.33584221,11111111111111111111100000000000,1,1,1,1
-0.283492622,11111111111110000000000000000000,-0.41508344,11111111000000000000000000000000,0,1,0,1
-0.336974026,11111111111000000000000000000000,0.28848463,11111111111111111110000000000000,0,1,1,1
-0.289856327,11111111111110000000000000000000,-0.32970393,11111111111000000000000000000000,0,1,0,1
1.030029511,11111111111111111111111111111110,-0.90768042,11111000000000000000000000000000,1,0,0,0
0.901473641,11111111111111111111111111000000,-0.44403754,11111111000000000000000000000000,1,0,0,1
1.011504131,11111111111111111111111111111110,-0.96147424,11100000000000000000000000000000,1,0,0,0
-0.318003287,11111111111100000000000000000000,-0.9895425,11000000000000000000000000000000,0,1,0,0
-0.438830244,11111111000000000000000000000000,-0.84997339,11111110000000000000000000000000,0,1,0,0
-0.293519577,11111111111110000000000000000000,0.38378946,11111111111111111111111000000000,0,1,1,1
0.945325341,11111111111111111111111111110000,-0.87039643,11111110000000000000000000000000,1,0,0,0
-0.90309881,11111100000000000000000000000000,-0.81795653,11111110000000000000000000000000,0,0,0,0
1.033350561,11111111111111111111111111111111,-0.34834523,11111111110000000000000000000000,1,0,0,1
-0.217919236,11111111111111100000000000000000,0.43848612,11111111111111111111111100000000,0,1,1,1
0.926048515,11111111111111111111111111100000,-0.35939627,11111111110000000000000000000000,1,0,0,1
0.266066419,11111111111111111100000000000000,0.97994733,11111111111111111111111111111100,1,1,1,0
-1.042529181,00000000000000000000000000000000,0.9259852,11111111111111111111111111100000,0,0,1,0
0.269819788,11111111111111111100000000000000,0.96650899,11111111111111111111111111111000,1,1,1,0
-0.350922013,11111111110000000000000000000000,0.31447371,11111111111111111111000000000000,0,1,1,1
0.318016392,11111111111111111111000000000000,0.23607509,11111111111111111000000000000000,1,1,1,1
0.300146534,11111111111111111110000000000000,-0.37857918,11111111100000000000000000000000,1,1,0,1
0.855203508,11111111111111111111111110000000,-0.25000446,11111111111111100000000000000000,1,0,0,1
-0.749760447,11111111000000000000000000000000,0.31574376,11111111111111111111000000000000,0,0,1,1
-1.054243035,00000000000000000000000000000000,-0.36784638,11111111110000000000000000000000,0,0,0,1
0.33474174,11111111111111111111100000000000,0.34545911,11111111111111111111110000000000,1,1,1,1
-0.32448519,11111111111000000000000000000000,-1.0395869,00000000000000000000000000000000,0,1,0,0
-0.30628789,11111111111100000000000000000000,0.26642065,11111111111111111100000000000000,0,1,1,1
1.031061287,11111111111111111111111111111110,0.99232862,11111111111111111111111111111100,1,0,1,0
0.843598295,11111111111111111111111110000000,-0.81709452,11111111000000000000000000000000,1,0,0,0
-0.361941703,11111111110000000000000000000000,1.05910515,11111111111111111111111111111111,0,1,1,0
-0.292737657,11111111111110000000000000000000,-0.24423649,11111111111111100000000000000000,0,1,0,1
