I,Q,bit0,bit1,bit2,bit3
0.3659393151073723,0.9882621557708564,1,0,1,1
-0.2048433854149044,-0.8187820858968377,0,0,0,1
-0.3650296120171555,0.29332528943318925,1,1,0,1
-0.4204126310336839,0.3732666522519854,1,1,0,1
-0.8694120951529265,-0.2740384169801307,0,1,0,0
-0.3261828513831501,0.9308223309190724,1,0,0,1
0.9968576344504306,0.9352206243644077,1,0,1,0
0.9994107043588513,0.9037486226812885,1,0,1,0
0.9010460226411933,-0.9010937784133947,0,0,1,0
0.2293773353505824,0.3211603980400831,1,1,1,1
-0.41300059698754843,1.0335257517299286,1,0,0,1
-1.1221621579977619,0.2672282055109949,1,1,0,0
0.3189387507000236,0.39067996032408325,1,1,1,1
-0.9348310831530265,-0.30816291321683686,0,1,0,0
-1.019584870341128,-0.9984055296007724,0,0,0,0
-1.03130663890455,0.8800394401600694,1,0,0,0
-1.1289275782420214,-0.3588787690331239,0,1,0,0
-0.32575210654071096,0.2660564842091044,1,1,0,1
0.9617258391328,-0.8024952047681755,0,0,1,0
0.3311860988606661,0.2925312348359555,1,1,1,1
-1.078377476051813,0.9453435421041054,1,0,0,0
0.9596121020613356,-0.9057473888820397,0,0,1,0
1.0230962478829653,0.8354003112323453,1,0,1,0
-0.1909320013216725,-0.8971398316980594,0,0,0,1
-0.748306595278167,-0.8876795929432717,0,0,0,0
0.8887627640783509,0.2658805898766109,1,1,1,0
0.8626540586842993,0.8876330678245489,1,0,1,0
-0.946625797043669,0.3133289880662768,1,1,0,0
0.21078499661881323,0.14380110177351235,1,1,1,1
0.9624160218525829,1.033304493847665,1,0,1,0
0.364600039003021,0.48430766450829155,1,1,1,1
0.3389541666687904,0.37694487619166606,1,1,1,1
0.27213918683575855,0.8179381596716296,1,0,1,1
-0.3358103589026964,1.029010463621747,1,0,0,1
-0.966473090029846,0.8648145093276552,1,0,0,0
0.8116278059218546,0.23918593892022896,1,1,1,0
1.110415919897394,-0.3250182605525203,0,1,1,0
-0.9971064634367361,0.8983234323541427,1,0,0,0
-0.3679216681202889,1.0959649372198093,1,0,0,1
-0.28992196083743427,-0.27037176969399984,0,1,0,1
-0.32638686012013274,0.1635912201883874,1,1,0,1
-0.2153419113902677,-0.3596157902464048,0,1,0,1
0.18153190458632854,0.31869197171250635,1,1,1,1
1.0290757176990153,-0.3905796488066645,0,1,1,0
0.38809584789816476,-0.9273432192843559,0,0,1,1
0.3734435882870034,-0.9582303156788369,0,0,1,1
0.318336474589056,-0.3506632703482921,0,1,1,1
-0.7099406518442158,-0.26183958756954195,0,1,0,0
0.9081198877766734,0.37807428225993567,1,1,1,0
0.4051222937974512,-1.0884342061729164,0,0,1,1
0.36153713210744987,-0.30802900505205294,0,1,1,1
-1.0599234004044904,0.2602985568329426,1,1,0,0
0.20332999659951154,0.8214692003132822,1,0,1,1
0.9694263178992656,0.9079344342777009,1,0,1,0
0.8801753988812124,0.8396438377346838,1,0,1,0
0.40080726706573766,0.2787989853660282,1,1,1,1
0.8555535956514764,0.8348344129471963,1,0,1,0
-1.0321869949865463,0.9770250754428421,1,0,0,0
0.914091009271837,0.31077327119122766,1,1,1,0
-1.0760175301788024,0.9307248603169109,1,0,0,0
-0.9526797094989116,0.3703038702237266,1,1,0,0
-0.4219629523963056,-0.2817425582158365,0,1,0,1
-0.7656016874159165,0.921866844705003,1,0,0,0
-0.34631680690962263,-0.29014171192792265,0,1,0,1
-0.8661576874431869,-0.29608208812302816,0,1,0,0
-0.429753674721865,0.20519481377812643,1,1,0,1
0.2944664724443287,-0.28494764041162673,0,1,1,1
0.9945788835231301,-0.9715944523476092,0,0,1,0
-0.9557925954914466,-1.0350997374276463,0,0,0,0
0.9853278391022569,-0.7995525579549072,0,0,1,0
-1.1328173210813723,1.145085973473051,1,0,0,0
-0.9298829056121272,-0.20641211964014927,0,1,0,0
0.3125838847931451,0.3384694983903082,1,1,1,1
0.25104112378539145,-0.4228911551809976,0,1,1,1
-0.18184777175651645,-0.4575301872552111,0,1,0,1
-0.4475142658634497,-0.9266129155978127,0,0,0,1
-0.8476819375277103,-0.9050320871656536,0,0,0,0
-1.0931945563961918,0.20281141739495162,1,1,0,0
0.9933147893080552,-0.9543579839530781,0,0,1,0
0.23206832978980205,-0.8076705942203977,0,0,1,1
-0.31507535490535243,-0.23273282704628084,0,1,0,1
