I,Q,bit0,bit1,bit2,bit3
0.29756515,0.438145761,1,1,1,1
-0.09801102,-0.34110003,0,1,0,1
0.31164414,-0.92982991,0,0,1,1
-0.98841005,0.414450725,1,1,0,0
0.88310080,0.306302,1,1,1,0
0.23918412,1.02174175,1,0,1,1
0.26706213,-0.92270362,0,0,1,1
1.00437955,-0.32871720,0,1,1,0
0.96508705,-0.92544813,0,0,1,0
-0.29796323,0.332836279,1,1,0,1
0.36404325,-0.33654825,0,1,1,1
-0.89434492,1.004847309,1,0,0,0
0.98089044,-0.38971809,0,1,1,0
0.44630261,0.82884785,1,0,1,1
0.93184035,-0.42736071,0,1,1,0
0.40769747,-0.27747967,0,1,1,1
-1.08115065,0.32464202,1,1,0,0
0.30103186,0.324808323,1,1,1,1
-0.22141239,0.356435382,1,1,0,1
-1.02070407,1.030074441,1,0,0,0
0.23577754,-1.05051522,0,0,1,1
-0.99090440,0.301661269,1,1,0,0
0.19797494,-0.33810174,0,1,1,1
-0.30748259,1.044285621,1,0,0,1
0.30080037,-0.96344804,0,0,1,1
0.83995684,0.919040357,1,0,1,0
-0.26141427,0.99615725,1,0,0,1
0.90297202,0.859725817,1,0,1,0
0.77259371,-0.94081964,0,0,1,0
-0.27645640,-1.10290047,0,0,0,1
-0.27228544,0.872272836,1,0,0,1
0.24000352,-0.35364697,0,1,1,1
0.42684167,0.94791285,1,0,1,1
-0.89035186,-1.08089957,0,0,0,0
1.01928126,0.305875034,1,1,1,0
-0.35428428,-0.95026095,0,0,0,1
-0.26448271,0.841342761,1,0,0,1
-0.26134135,-0.24382273,0,1,0,1
-0.26823156,0.931294532,1,0,0,1
-0.86031443,0.915762319,1,0,0,0
1.06683470,0.341632866,1,1,1,0
-0.86775357,-1.04169458,0,0,0,0
-1.00991171,0.92776455,1,0,0,0
0.95366384,-0.73267719,0,0,1,0
0.93951255,0.20840174,1,1,1,0
0.92989455,1.080044634,1,0,1,0
-0.25675170,-1.05523399,0,0,0,1
-0.97210327,0.29389354,1,1,0,0
-0.94126167,0.24549598,1,1,0,0
-0.44362922,0.87446365,1,0,0,1
0.446778986,0.14650263,1,1,1,1
1.034856905,0.93648518,1,0,1,0
0.277975273,-0.896964935,0,0,1,1
-0.94024101,-0.951219413,0,0,0,0
0.84984684,-0.167644434,0,1,1,0
0.95771126,-0.322682324,0,1,1,0
0.97045463,0.990131907,1,0,1,0
0.92627383,-0.914077056,0,0,1,0
-0.38244737,0.911160495,1,0,0,1
0.90240898,0.944272489,1,0,1,0
-0.32851524,-0.866075527,0,0,0,1
-0.96595815,-0.238469165,0,1,0,0
0.97528756,-0.319041178,0,1,1,0
0.30449794,-0.336281751,0,1,1,1
-1.02296220,-0.995981567,0,0,0,0
-1.11883478,0.250399709,1,1,0,0
0.38088006,0.367086021,1,1,1,1
-0.20877419,-0.924318869,0,0,0,1
1.05511566,-0.259549595,0,1,1,0
-0.93526476,0.343329102,1,1,0,0
0.31760148,0.965175139,1,0,1,1
-0.94128268,0.363604986,1,1,0,0
0.38347952,-0.919327311,0,0,1,1
-0.35804274,1.055122561,1,0,0,1
0.95666105,-0.283157419,0,1,1,0
0.94112066,-0.324236545,0,1,1,0
-0.96472582,0.917376235,1,0,0,0
-0.31050514,0.231556399,1,1,0,1
0.25228582,0.323780385,1,1,1,1
-0.20361978,-0.286380073,0,1,0,1
1.05264040,-0.977773686,0,0,1,0
-0.35495838,0.475043419,1,1,0,1
-0.37087657,-0.364805763,0,1,0,1
-0.28312809,-0.319584762,0,1,0,1
-0.92975144,0.933393752,1,0,0,0
0.97162773,-0.289225275,0,1,1,0
0.85055011,-0.812020381,0,0,1,0
-1.03676399,0.909743055,1,0,0,0
-0.98116137,0.186447299,1,1,0,0
0.85432346,1.116643996,1,0,1,0
0.87192664,-0.338305519,0,1,1,0
-0.32977320,-0.442897741,0,1,0,1
-0.50151641,0.313757113,1,1,0,1
0.34618486,-0.908072941,0,0,1,1
0.95626919,-0.998427783,0,0,1,0
-1.09060107,-0.931774475,0,0,0,0
0.36563961,1.001893048,1,0,1,1
-0.24449559,-0.98784789,0,0,0,1
0.91670485,-0.93460122,0,0,1,0
0.32464856,0.423046191,1,1,1,1
1.00056977,0.196292375,1,1,1,0
-0.43474814,-0.433562282,0,1,0,1
-0.38991422,0.231002589,1,1,0,1
0.44057474,-0.998503619,0,0,1,1
0.81301184,1.03828626,1,0,1,0
0.33360693,-0.32458194,0,1,1,1
-0.32489903,0.325342588,1,1,0,1
-0.31407745,0.914739927,1,0,0,1
1.07061756,-0.257685635,0,1,1,0
-1.06445799,-0.347588732,0,1,0,0
0.31872735,0.392246173,1,1,1,1
0.24014321,-0.406309927,0,1,1,1
-0.96916470,0.930548983,1,0,0,0
0.35480686,-0.943782182,0,0,1,1
-0.81503523,-0.168973417,0,1,0,0
-0.42580468,0.344340795,1,1,0,1
-0.38725064,0.888354834,1,0,0,1
0.37351864,0.261458802,1,1,1,1
0.97819340,0.233825949,1,1,1,0
0.95243365,-0.372864355,0,1,1,0
-0.94699373,0.339221811,1,1,0,0
-0.94704723,0.888334378,1,0,0,0
0.92142121,0.881161935,1,0,1,0
0.77345211,-0.215250122,0,1,1,0
0.98102095,-0.415736526,0,1,1,0
-0.91782928,-0.967639234,0,0,0,0
1.03594385,0.286810444,1,1,1,0
0.22941827,-0.982174656,0,0,1,1
-0.39076530,-1.007793807,0,0,0,1
0.14263700,-0.270453754,0,1,1,1
-0.36230055,-0.263577088,0,1,0,1
-0.27870091,0.826455555,1,0,0,1
0.36269703,0.824522771,1,0,1,1
-0.40665277,0.302141105,1,1,0,1
-0.82379178,0.310295711,1,1,0,0
-0.87942572,0.866499398,1,0,0,0
0.98857477,0.900850544,1,0,1,0
-0.95687392,0.99292419,1,0,0,0
0.43720057,0.400531597,1,1,1,1
-0.33629320,0.984654122,1,0,0,1
0.84508300,0.294685838,1,1,1,0
-0.30373599,-0.385606286,0,1,0,1
-0.97887614,0.869988718,1,0,0,0
0.81908561,-1.02679257,0,0,1,0
-0.35224526,0.946890221,1,0,0,1
0.33584221,0.247490572,1,1,1,1
-0.41508344,-0.283492622,0,1,0,1
0.28848463,-0.336974026,0,1,1,1
-0.32970393,-0.289856327,0,1,0,1
-0.90768042,1.030029511,1,0,0,0
-0.44403754,0.901473641,1,0,0,1
-0.96147424,1.011504131,1,0,0,0
-0.98954250,-0.318003287,0,1,0,0
-0.84997339,-0.438830244,0,1,0,0
0.38378946,-0.293519577,0,1,1,1
-0.87039643,0.945325341,1,0,0,0
-0.81795653,-0.90309881,0,0,0,0
-0.34834523,1.033350561,1,0,0,1
0.43848612,-0.217919236,0,1,1,1
-0.35939627,0.926048515,1,0,0,1
0.97994733,0.266066419,1,1,1,0
0.92598520,-1.042529181,0,0,1,0
0.96650899,0.269819788,1,1,1,0
0.31447371,-0.350922013,0,1,1,1
0.23607509,0.318016392,1,1,1,1
-0.37857918,0.300146534,1,1,0,1
-0.25000446,0.855203508,1,0,0,1
0.31574376,-0.749760447,0,0,1,1
-0.36784638,-1.054243035,0,0,0,1
0.34545911,0.33474174,1,1,1,1
-1.03958690,-0.32448519,0,1,0,0
0.26642065,-0.30628789,0,1,1,1
0.99232862,1.031061287,1,0,1,0
-0.81709452,0.843598295,1,0,0,0
1.05910515,-0.361941703,0,1,1,0
-0.24423649,-0.292737657,0,1,0,1
-0.98817038,-1.068735821,0,0,0,0
-0.85137162,-0.999317615,0,0,0,0
0.26241998,0.941318841,1,0,1,1
0.34108148,0.857372376,1,0,1,1
0.98551214,-0.428090734,0,1,1,0
0.37109662,-0.341297772,0,1,1,1
0.90947557,0.291891191,1,1,1,0
0.87078801,-0.240848944,0,1,1,0
0.96590465,0.345617051,1,1,1,0
-0.27359703,1.055968058,1,0,0,1
-0.92360608,0.913955217,1,0,0,0
-0.96288350,-0.872398405,0,0,0,0
-0.17688273,0.98248789,1,0,0,1
-1.01513341,-0.21361533,0,1,0,0
1.04153903,-0.341906373,0,1,1,0
-0.89165814,0.890708861,1,0,0,0
-0.43524505,-0.962437388,0,0,0,1
-0.41669831,0.36134711,1,1,0,1
-0.25964472,-0.921920541,0,0,0,1
-0.95005213,0.895817726,1,0,0,0
0.29469329,-0.17332258,0,1,1,1
-1.00771666,0.227903866,1,1,0,0
1.00956447,0.327431575,1,1,1,0
-0.21917847,0.953136305,1,0,0,1
-0.31802767,0.264265412,1,1,0,1
-0.41706150,-0.991137343,0,0,0,1
1.00960693,0.931795185,1,0,1,0
-0.85176137,0.775205896,1,0,0,0
0.30940702,-0.392239979,0,1,1,1
0.91489486,-0.337911262,0,1,1,0
0.17987189,0.27013078,1,1,1,1
-0.96255333,0.926146819,1,0,0,0
-0.34833350,0.978907183,1,0,0,1
0.20061578,0.30064038,1,1,1,1
0.29717253,0.977669928,1,0,1,1
0.39044017,0.215140209,1,1,1,1
-0.90331992,-0.302420259,0,1,0,0
-0.98371806,0.274301633,1,1,0,0
0.99851585,0.916502463,1,0,1,0
-0.32982149,-0.214595031,0,1,0,1
0.94375546,0.934236639,1,0,1,0
0.11868538,-0.39521569,0,1,1,1
0.96906089,0.879187736,1,0,1,0
-0.92175213,0.983788404,1,0,0,0
-0.93193969,0.289566773,1,1,0,0
0.90369920,0.299935359,1,1,1,0
0.33842776,-0.18941045,0,1,1,1
0.25095014,-1.159041621,0,0,1,1
-0.37766248,1.055366533,1,0,0,1
0.93476218,1.02979517,1,0,1,0
0.93508833,0.900361327,1,0,1,0
-0.93154758,0.906733324,1,0,0,0
0.84170293,0.439798301,1,1,1,0
-0.85800328,-0.225663895,0,1,0,0
0.39280257,-0.25741415,0,1,1,1
0.33191388,-0.826448557,0,0,1,1
-0.28473727,-0.464162642,0,1,0,1
-0.89776048,0.997795732,1,0,0,0
-0.87005795,0.883717248,1,0,0,0
0.85180337,0.965633032,1,0,1,0
0.27232427,0.286811784,1,1,1,1
0.39718368,0.993919286,1,0,1,1
-1.00071493,-0.906980305,0,0,0,0
0.85705702,0.83981137,1,0,1,0
-0.47223545,0.959456055,1,0,0,1
0.37763912,-0.347715336,0,1,1,1
-0.90840163,0.877269344,1,0,0,0
-0.97813524,-0.323058326,0,1,0,0
0.86941619,0.945589914,1,0,1,0
-0.20945261,-0.402055434,0,1,0,1
-0.24414464,0.158901391,1,1,0,1
0.33602421,0.891755385,1,0,1,1
0.91111686,-0.142071056,0,1,1,0
-1.01735400,0.887897604,1,0,0,0
-0.20433111,-0.227229142,0,1,0,1
-1.05924318,-0.843411958,0,0,0,0
0.78383591,0.20167047,1,1,1,0
-0.37895069,0.290432544,1,1,0,1
0.26522548,-1.004993471,0,0,1,1
-0.29479668,-0.31399698,0,1,0,1
0.45934159,1.016903657,1,0,1,1
0.95632184,-0.304993686,0,1,1,0
-0.95796195,0.349385184,1,1,0,0
-0.34151743,0.994460748,1,0,0,1
-0.27842175,-0.253289904,0,1,0,1
0.22787173,0.336395119,1,1,1,1
0.42559587,0.284240455,1,1,1,1
0.86242436,0.394493731,1,1,1,0
0.87305441,-1.02503038,0,0,1,0
-0.22885191,-0.433391349,0,1,0,1
0.91932922,0.362666608,1,1,1,0
-0.89966934,0.806024969,1,0,0,0
-1.08571322,-0.27605772,0,1,0,0
-0.34916161,0.942597168,1,0,0,1
0.38601374,0.209045544,1,1,1,1
-0.94135475,0.450559308,1,1,0,0
